product_title,link,price,currency,pre_reduction,discount
NIKE COSMIC RUNNER TD,https://www.namshi.com//bahrain-en/buy-nike-nike-cosmic-runner-td/VEA7EABE0838107BEC62AV/p/,23.79,BHD,,
Kids Vl Court 3.0,https://www.namshi.com//bahrain-en/buy-adidas-kids-vl-court-3-0/ZB08512214F188AC714F5Z/p/,22.08,BHD,25.91,-15%
Kids Classic Clogs,https://www.namshi.com//bahrain-en/buy-crocs-kids-classic-clogs/Z72017F7FA8E19033F886Z/p/,21.52,BHD,,
Infant Bubblecomfy,https://www.namshi.com//bahrain-en/buy-adidas-infant-bubblecomfy/Z219396DA97DB726529B2Z/p/,17.07,BHD,20.49,-17%
Kids Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-run-3-0-el/ZC7F6220CFF434B64F113Z/p/,18.78,BHD,19.41,-4%
Kids Gel-1130 Ps,https://www.namshi.com//bahrain-en/buy-asics-kids-gel-1130-ps/Z5117D787F6D02E73B32CZ/p/,36.31,BHD,36.32,-1%
Kids Flexfocus Sliptech Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-flexfocus-sliptech-ps/ZE372A44895E90D9B5C38Z/p/,11.38,BHD,19.41,-42%
Youth Softride Cosmic Street Sliptech,https://www.namshi.com//bahrain-en/buy-puma-youth-softride-cosmic-street-sliptech/ZACBB2426A9510F7B44E8Z/p/,15.82,BHD,29.16,-46%
Kids Club Ii Era,https://www.namshi.com//bahrain-en/buy-puma-kids-club-ii-era/Z8B9F6CA4B60B85AA4840Z/p/,17.76,BHD,28.08,-37%
Youth Runfalcon 5 El,https://www.namshi.com//bahrain-en/buy-adidas-youth-runfalcon-5-el/Z6CBCE227D30F34EF2CABZ/p/,12.98,BHD,21.57,-40%
Kids Altaswim 3 C,https://www.namshi.com//bahrain-en/buy-adidas-kids-altaswim-3-c/Z0021C29D58A67A6C048FZ/p/,12.63,BHD,18.32,-32%
